timestamp_et,session_date_et,session_time_et,open,high,low,close,volume,touched_dynamite_zone,touched_levels,first_touch_event,first_touch_levels,approach_directions
2026-03-24 09:40:00,2026-03-24,09:40:00,6538.57,6538.87,6525.52,6533.38,41229952,false,,false,,
2026-03-24 09:45:00,2026-03-24,09:45:00,6533.31,6541.45,6527.28,6527.44,39495462,false,,false,,
2026-03-24 09:50:00,2026-03-24,09:50:00,6527.48,6534.7,6525.11,6529.32,34439629,false,,false,,
2026-03-24 09:55:00,2026-03-24,09:55:00,6529.37,6540.73,6528.79,6540.38,33552720,false,,false,,
2026-03-24 10:00:00,2026-03-24,10:00:00,6540.51,6548.56,6538.55,6548.49,39551330,true,6550,true,6550,6550:from_below
2026-03-24 10:05:00,2026-03-24,10:05:00,6548.65,6559.99,6542.17,6559.16,37035540,true,6550,false,,
2026-03-24 10:10:00,2026-03-24,10:10:00,6559.24,6560.95,6541.46,6551.41,42082780,true,6550,false,,
2026-03-24 10:15:00,2026-03-24,10:15:00,6551.27,6552.28,6543.07,6551.07,31910380,true,6550,false,,
2026-03-24 10:20:00,2026-03-24,10:20:00,6551.14,6554.33,6544.19,6549.15,31723050,true,6550,false,,
2026-03-24 10:25:00,2026-03-24,10:25:00,6548.93,6559.45,6544.68,6551.23,31588780,true,6550,false,,
2026-03-24 10:30:00,2026-03-24,10:30:00,6551.14,6559.69,6549.98,6558.78,33192480,true,6550,false,,
2026-03-24 10:35:00,2026-03-24,10:35:00,6558.86,6560.28,6548.57,6553.56,30434510,true,6550,false,,
2026-03-24 10:40:00,2026-03-24,10:40:00,6553.29,6562.43,6551.52,6562.38,29578300,true,6550,false,,
2026-03-24 10:45:00,2026-03-24,10:45:00,6562.72,6565.86,6553.14,6554.46,33664600,false,,false,,
2026-03-24 10:50:00,2026-03-24,10:50:00,6554.04,6582.61,6548.64,6571.8,52938680,true,6550,true,6550,6550:from_above
2026-03-24 10:55:00,2026-03-24,10:55:00,6571.31,6580.82,6552.72,6564.61,47804110,false,,false,,
2026-03-24 11:00:00,2026-03-24,11:00:00,6565.08,6578.62,6565.08,6575.51,34893920,false,,false,,
2026-03-24 11:05:00,2026-03-24,11:05:00,6575.45,6578.15,6573.19,6574.96,26276840,false,,false,,
2026-03-24 11:10:00,2026-03-24,11:10:00,6575.27,6579.87,6571.24,6578.48,28265860,false,,false,,
2026-03-24 11:15:00,2026-03-24,11:15:00,6578.32,6584.49,6578.17,6583.06,28276410,false,,false,,
2026-03-24 11:20:00,2026-03-24,11:20:00,6583.09,6590.51,6580.19,6590.39,32538490,false,,false,,
2026-03-24 11:25:00,2026-03-24,11:25:00,6590.2,6594.17,6584.31,6586.22,31622900,false,,false,,
2026-03-24 11:30:00,2026-03-24,11:30:00,6586.23,6589.45,6579.48,6583.62,30482110,false,,false,,
2026-03-24 11:35:00,2026-03-24,11:35:00,6583.38,6591.09,6583,6588.94,26333380,false,,false,,
2026-03-24 11:40:00,2026-03-24,11:40:00,6588.93,6590.86,6586.82,6588.79,24097570,false,,false,,
2026-03-24 11:45:00,2026-03-24,11:45:00,6588.67,6592.12,6587.17,6591.66,23241740,false,,false,,
2026-03-24 11:50:00,2026-03-24,11:50:00,6591.73,6595.75,6590.35,6590.83,24207620,false,,false,,
2026-03-24 11:55:00,2026-03-24,11:55:00,6590.87,6590.87,6575.84,6577.76,27880370,false,,false,,
2026-03-24 12:00:00,2026-03-24,12:00:00,6576.89,6577.98,6572.28,6572.52,23772850,false,,false,,
2026-03-24 12:05:00,2026-03-24,12:05:00,6572.64,6576.37,6569.37,6576.37,21116650,false,,false,,
2026-03-24 12:10:00,2026-03-24,12:10:00,6576.5,6577.39,6572.05,6575.6,20103490,false,,false,,
2026-03-24 12:15:00,2026-03-24,12:15:00,6575.61,6586.46,6575.45,6584.76,21316320,false,,false,,
2026-03-24 12:20:00,2026-03-24,12:20:00,6584.84,6587.81,6581.79,6586.13,21318130,false,,false,,
2026-03-24 12:25:00,2026-03-24,12:25:00,6586.11,6586.51,6582.13,6585.01,20614670,false,,false,,
2026-03-24 12:30:00,2026-03-24,12:30:00,6585.31,6586.71,6580.96,6581.07,18772170,false,,false,,
2026-03-24 12:35:00,2026-03-24,12:35:00,6580.77,6580.81,6567.66,6568.32,24210150,false,,false,,
2026-03-24 12:40:00,2026-03-24,12:40:00,6568.11,6577.43,6567.28,6577.43,18813680,false,,false,,
2026-03-24 12:45:00,2026-03-24,12:45:00,6577.57,6582.61,6576.4,6577.01,18555290,false,,false,,
2026-03-24 12:50:00,2026-03-24,12:50:00,6577,6581.78,6576.39,6577.37,17939680,false,,false,,
2026-03-24 12:55:00,2026-03-24,12:55:00,6577.37,6579.02,6571.12,6576.98,20401850,false,,false,,
2026-03-24 13:00:00,2026-03-24,13:00:00,6577.04,6579.43,6562.21,6562.21,24318040,false,,false,,
2026-03-24 13:05:00,2026-03-24,13:05:00,6562.18,6562.18,6553.84,6555.97,27782300,false,,false,,
2026-03-24 13:10:00,2026-03-24,13:10:00,6555.97,6558.52,6552.1,6555.75,20026100,false,,false,,
2026-03-24 13:15:00,2026-03-24,13:15:00,6555.65,6557.42,6552.61,6553.68,19133450,false,,false,,
2026-03-24 13:20:00,2026-03-24,13:20:00,6553.82,6558.75,6553.09,6557.05,18347300,false,,false,,
2026-03-24 13:25:00,2026-03-24,13:25:00,6556.91,6559.84,6555.15,6559.63,18958460,false,,false,,
2026-03-24 13:30:00,2026-03-24,13:30:00,6559.6,6565.53,6555.16,6555.18,21451410,false,,false,,
2026-03-24 13:35:00,2026-03-24,13:35:00,6555.21,6560.41,6553.23,6559.41,18282760,false,,false,,
2026-03-24 13:40:00,2026-03-24,13:40:00,6559.54,6562.84,6550.93,6551.8,19808120,true,6550,true,6550,6550:from_above
2026-03-24 13:45:00,2026-03-24,13:45:00,6551.79,6556.15,6550.39,6554.71,15305220,true,6550,false,,
2026-03-24 13:50:00,2026-03-24,13:50:00,6554.69,6560.63,6553.33,6557.07,21157250,false,,false,,
2026-03-24 13:55:00,2026-03-24,13:55:00,6557.06,6567.8,6555.58,6567.18,29327770,false,,false,,
2026-03-24 14:00:00,2026-03-24,14:00:00,6567.65,6574.37,6566.1,6568.51,23394340,false,,false,,
2026-03-24 14:05:00,2026-03-24,14:05:00,6568.51,6568.77,6563.83,6564.01,20350400,false,,false,,
2026-03-24 14:10:00,2026-03-24,14:10:00,6564.1,6565.65,6562.3,6564.2,20369970,false,,false,,
2026-03-24 14:15:00,2026-03-24,14:15:00,6564.32,6566.53,6558.02,6566.23,24629130,false,,false,,
2026-03-24 14:20:00,2026-03-24,14:20:00,6565.78,6568.2,6563.54,6566.42,20208180,false,,false,,
2026-03-24 14:25:00,2026-03-24,14:25:00,6566.48,6573.62,6566.02,6570.88,22312580,false,,false,,
2026-03-24 14:30:00,2026-03-24,14:30:00,6570.93,6580.66,6569.26,6575.58,24186520,false,,false,,
2026-03-24 14:35:00,2026-03-24,14:35:00,6575.66,6590.66,6575.39,6590.66,26048150,false,,false,,
2026-03-24 14:40:00,2026-03-24,14:40:00,6590.65,6590.65,6574.65,6579.15,29606660,false,,false,,
2026-03-24 14:45:00,2026-03-24,14:45:00,6579.12,6579.53,6574.12,6575.6,22819130,false,,false,,
2026-03-24 14:50:00,2026-03-24,14:50:00,6575.7,6582.34,6575.7,6578.08,23765840,false,,false,,
2026-03-24 14:55:00,2026-03-24,14:55:00,6578.15,6578.15,6570.76,6574.66,21741110,false,,false,,
2026-03-24 15:00:00,2026-03-24,15:00:00,6574.43,6581.35,6574.3,6577.45,24883390,false,,false,,
2026-03-24 15:05:00,2026-03-24,15:05:00,6577.48,6579.09,6574.51,6578.84,25257790,false,,false,,
2026-03-24 15:10:00,2026-03-24,15:10:00,6578.83,6582.05,6578.1,6582.05,24695880,false,,false,,
2026-03-24 15:15:00,2026-03-24,15:15:00,6582.1,6582.1,6576.1,6578.09,29175140,false,,false,,
2026-03-24 15:20:00,2026-03-24,15:20:00,6578.06,6578.66,6573.52,6576.58,27395010,false,,false,,
2026-03-24 15:25:00,2026-03-24,15:25:00,6576.55,6577.21,6569.51,6569.96,27878880,false,,false,,
2026-03-24 15:30:00,2026-03-24,15:30:00,6570.01,6573.07,6565.72,6566.82,35004130,false,,false,,
2026-03-24 15:35:00,2026-03-24,15:35:00,6566.7,6566.74,6562.19,6565.26,33699200,false,,false,,
2026-03-24 15:40:00,2026-03-24,15:40:00,6565.36,6568.48,6563.63,6563.75,38512330,false,,false,,
2026-03-24 15:45:00,2026-03-24,15:45:00,6563.79,6563.79,6557.38,6560.97,48706530,false,,false,,
2026-03-24 15:50:00,2026-03-24,15:50:00,6561.02,6561.02,6553.94,6554.63,82447570,false,,false,,
2026-03-24 15:55:00,2026-03-24,15:55:00,6554.46,6557.04,6551.45,6557.04,191064120,true,6550,true,6550,6550:from_above
2026-03-24 16:00:00,2026-03-24,16:00:00,6557.2,6557.2,6556.33,6556.36,562859020,false,,false,,
2026-03-25 09:30:00,2026-03-25,09:30:00,6616.49,6628.02,6615.01,6623.42,140041085,false,,false,,
2026-03-25 09:35:00,2026-03-25,09:35:00,6623.4,6633.94,6622.76,6625.69,58943150,false,,false,,
2026-03-25 09:40:00,2026-03-25,09:40:00,6625.67,6630.98,6614.12,6614.81,52233618,false,,false,,
2026-03-25 09:45:00,2026-03-25,09:45:00,6615.15,6617.6,6604.09,6604.09,44095507,false,,false,,
2026-03-25 09:50:00,2026-03-25,09:50:00,6604.36,6604.57,6593.05,6593.35,45779600,true,6600,true,6600,6600:from_above
2026-03-25 09:55:00,2026-03-25,09:55:00,6593.5,6600.75,6590.87,6591.19,38397940,true,6600,false,,
2026-03-25 10:00:00,2026-03-25,10:00:00,6591.13,6599.6,6583.08,6596.27,46232890,true,6600,false,,
2026-03-25 10:05:00,2026-03-25,10:05:00,6596.34,6600.28,6590.71,6596.72,39955410,true,6600,false,,
2026-03-25 10:10:00,2026-03-25,10:10:00,6596.69,6606.03,6592.48,6606.03,35797660,true,6600,false,,
